CD,CL,CY,Cl,Cm,Cn,alpha_deg,beta_deg,case_id,grid_source,speed_mps,status
0.0141579,0.1132851,0.0001924,-0.0005605,-0.0366991,-0.0003282,0.0,0.0,CASE_V000008000_AP000000000_BP000000000,seed,8.0,PASS
0.0138981,0.113267,0.0001936,-0.0005605,-0.036695,-0.0003287,0.0,0.0,CASE_V000008500_AP000000000_BP000000000,adaptive_midpoint,8.5,PASS
0.0136596,0.1132487,0.0001951,-0.0005604,-0.0366873,-0.0003294,0.0,0.0,CASE_V000009000_AP000000000_BP000000000,seed,9.0,PASS
