difference,pass_limit,quantity,reference_scale,relative_difference,status,wake12_value,wake16_value,warn_limit
0.00025296421999998486,0.028181346050169996,CL,0.606044868339,0.00041740180177300945,PASS,0.606044868339,0.605791904119,0.07848358946712
5.90210109999989e-05,0.0115,CD,0.05,0.001180420219999978,PASS,0.04252072108,0.042461700069,0.034
0.0006550641270000003,0.0115,CY,0.05,0.013101282540000005,PASS,0.003958724468,0.004613788595,0.034
5.794726199999996e-05,0.0115,Cl,0.05,0.0011589452399999992,PASS,-0.000751092592,-0.000809039854,0.034
0.0002641897070000121,0.01463091303418,Cm,0.154363767806,0.001711474854203081,PASS,-0.154363767806,-0.154099578099,0.04234910142448
0.00010864959300000001,0.0115,Cn,0.05,0.00217299186,PASS,-0.000441416808,-0.000550066401,0.034
0.05213627875429694,0.15252911873490343,CL_alpha,4.750970624496781,0.01097381627355761,PASS,4.698834345742484,4.750970624496781,0.4100776499597425
0.009161616973833886,0.023187829893814665,CD_alpha,0.4395943297938222,0.02084107176298396,PASS,0.4304327128199883,0.4395943297938222,0.06516754638350578
0.026036194917419708,0.04526958515114601,Cm_alpha,1.1756528383715337,0.022146159195672067,PASS,-1.149616643454114,-1.1756528383715337,0.1240522270697227
0.006146400707914779,0.024567614330904847,CL_delta_e,0.4855871443634949,0.012657667690052726,PASS,0.47944074365558015,0.4855871443634949,0.0688469715490796
0.0022670989989303156,0.0115,CD_delta_e,0.05,0.04534197997860631,PASS,0.043007110700877545,0.04527420969980786,0.034
0.0064118165883104705,0.05063954016553116,Cm_delta_e,1.3546513388510386,0.004733185879215768,PASS,-1.3482395222627281,-1.3546513388510386,0.1383721071080831
0.02769026608863423,0.021238809988193406,CY_beta,0.3746269996064469,0.07391422966770522,WARN,-0.3469367335178127,-0.3746269996064469,0.05997015996851575
0.003344793593145462,0.01361126550064863,Cl_beta,0.12037551668828764,0.027786328027208422,PASS,-0.12037551668828764,-0.11703072309514218,0.03963004133506301
0.004876949257725298,0.0115,Cn_beta,0.05,0.09753898515450596,PASS,0.04120137952070125,0.04607832877842655,0.034
0.016616603409850047,0.0115,CY_delta_a,0.05,0.3323320681970009,WARN,-0.012901391341645347,0.0037152120682047004,0.034
0.004594825039938133,0.018801504624383566,Cl_delta_a,0.2933834874794522,0.015661498468825523,PASS,-0.28878866243951407,-0.2933834874794522,0.053470678998356176
0.0012490815114162106,0.0115,Cn_delta_a,0.05,0.02498163022832421,PASS,0.009414271766329958,0.008165190254913747,0.034
0.00759782490028596,0.01474780004261736,CY_delta_r,0.1582600014205786,0.048008497612069476,PASS,-0.1582600014205786,-0.15066217652029265,0.042660800113646286
0.008224854584656119,0.0115,Cl_delta_r,0.05,0.16449709169312238,PASS,0.0037239833931466794,0.0119488379778028,0.034
0.00017784707363685537,0.012067246111515767,Cn_delta_r,0.06890820371719222,0.0025809274374174913,PASS,0.06873035664355537,0.06890820371719222,0.03551265629737538
