preset,quantity,recommended_preset,state,status,value
FINE,CY_delta_a,FINE,cruise_trim,FAIL,-0.0179035
FINE,Cl_delta_a,FINE,cruise_trim,FAIL,-0.2318796
FINE,Cn_delta_a,FINE,cruise_trim,FAIL,0.0073381
FINE,CY_delta_r,FINE,cruise_trim,FAIL,-0.1703992
FINE,Cl_delta_r,FINE,cruise_trim,FAIL,0.0442526
FINE,Cn_delta_r,FINE,cruise_trim,FAIL,0.0723079
COARSE,CL,FINE,high_alpha_beta,FAIL,0.8885088
COARSE,CD,FINE,high_alpha_beta,FAIL,0.0639589
COARSE,CY,FINE,high_alpha_beta,FAIL,-0.0132368
COARSE,Cl,FINE,high_alpha_beta,FAIL,-0.0051761
COARSE,Cm,FINE,high_alpha_beta,FAIL,-0.2228026
COARSE,Cn,FINE,high_alpha_beta,FAIL,0.0022828
COARSE,CL_alpha,FINE,high_alpha_beta,FAIL,11.5563052
COARSE,CD_alpha,FINE,high_alpha_beta,FAIL,2.2262693
COARSE,Cm_alpha,FINE,high_alpha_beta,FAIL,-7.126489
COARSE,CL_q,FINE,high_alpha_beta,FAIL,9.0320779
COARSE,Cm_q,FINE,high_alpha_beta,FAIL,-7.976293
COARSE,CY_beta,FINE,high_alpha_beta,FAIL,7.4900963
COARSE,Cl_beta,FINE,high_alpha_beta,FAIL,0.4479233
COARSE,Cn_beta,FINE,high_alpha_beta,FAIL,-6.5634546
COARSE,CY_p,FINE,high_alpha_beta,FAIL,-0.7958559
COARSE,Cl_p,FINE,high_alpha_beta,FAIL,-0.2788707
COARSE,Cn_p,FINE,high_alpha_beta,FAIL,0.0882852
COARSE,CY_r,FINE,high_alpha_beta,FAIL,0.3324502
COARSE,Cl_r,FINE,high_alpha_beta,FAIL,0.1374076
COARSE,Cn_r,FINE,high_alpha_beta,FAIL,-0.0212638
COARSE,CL_delta_e,FINE,high_alpha_beta,FAIL,0.8792168
COARSE,CD_delta_e,FINE,high_alpha_beta,FAIL,0.2050517
COARSE,Cm_delta_e,FINE,high_alpha_beta,FAIL,-3.0328266
COARSE,CY_delta_a,FINE,high_alpha_beta,FAIL,-1.2960651
COARSE,Cl_delta_a,FINE,high_alpha_beta,FAIL,-0.3808862
COARSE,Cn_delta_a,FINE,high_alpha_beta,FAIL,0.1210122
COARSE,CY_delta_r,FINE,high_alpha_beta,FAIL,-0.4205757
COARSE,Cl_delta_r,FINE,high_alpha_beta,FAIL,0.1002956
COARSE,Cn_delta_r,FINE,high_alpha_beta,FAIL,0.2434828
MEDIUM,CL,FINE,high_alpha_beta,FAIL,0.8818657
MEDIUM,CD,FINE,high_alpha_beta,FAIL,0.0576385
MEDIUM,CY,FINE,high_alpha_beta,FAIL,-0.0115522
MEDIUM,Cl,FINE,high_alpha_beta,FAIL,-0.005194
MEDIUM,Cm,FINE,high_alpha_beta,FAIL,-0.2191016
MEDIUM,Cn,FINE,high_alpha_beta,FAIL,0.0015609
MEDIUM,CL_alpha,FINE,high_alpha_beta,FAIL,3.3316265
MEDIUM,CD_alpha,FINE,high_alpha_beta,FAIL,0.2245957
MEDIUM,Cm_alpha,FINE,high_alpha_beta,FAIL,1.6263997
MEDIUM,CL_q,FINE,high_alpha_beta,FAIL,9.1466165
MEDIUM,Cm_q,FINE,high_alpha_beta,FAIL,-12.7106788
MEDIUM,CY_beta,FINE,high_alpha_beta,FAIL,0.718668
MEDIUM,Cl_beta,FINE,high_alpha_beta,FAIL,-2.3956504
MEDIUM,Cn_beta,FINE,high_alpha_beta,FAIL,-0.9354708
MEDIUM,CY_p,FINE,high_alpha_beta,FAIL,-0.0620054
MEDIUM,Cl_p,FINE,high_alpha_beta,FAIL,-0.5762565
MEDIUM,Cn_p,FINE,high_alpha_beta,FAIL,-0.1493069
MEDIUM,CY_r,FINE,high_alpha_beta,FAIL,0.367661
MEDIUM,Cl_r,FINE,high_alpha_beta,FAIL,0.0649242
MEDIUM,Cn_r,FINE,high_alpha_beta,FAIL,-0.1552836
MEDIUM,CL_delta_e,FINE,high_alpha_beta,FAIL,0.3701994
MEDIUM,CD_delta_e,FINE,high_alpha_beta,FAIL,0.0462526
MEDIUM,Cm_delta_e,FINE,high_alpha_beta,FAIL,-1.0614612
MEDIUM,CY_delta_a,FINE,high_alpha_beta,FAIL,0.1045719
MEDIUM,Cl_delta_a,FINE,high_alpha_beta,FAIL,-0.3870308
MEDIUM,Cn_delta_a,FINE,high_alpha_beta,FAIL,-0.0815445
MEDIUM,CY_delta_r,FINE,high_alpha_beta,FAIL,0.0243143
