convergence_status,derivative_value,method,name,selected_fd_step
PASS,4.700659873273386,centered_finite_difference,CL_alpha,0.5
PASS,0.2781414852500147,centered_finite_difference,CD_alpha,0.5
PASS,-1.127856599235177,centered_finite_difference,Cm_alpha,0.5
PASS,-0.35413987446421835,centered_finite_difference,CY_beta,0.5
PASS,-0.10130866115832135,centered_finite_difference,Cl_beta,0.5
PASS,0.042410919839576774,centered_finite_difference,Cn_beta,0.5
PASS,-0.014428149887034501,centered_finite_difference,CY_delta_a,1.0
PASS,-0.27947494828992003,centered_finite_difference,Cl_delta_a,1.0
PASS,0.008614385356126974,centered_finite_difference,Cn_delta_a,1.0
PASS,0.5034238318048049,centered_finite_difference,CL_delta_e,1.0
PASS,0.006552756642869337,centered_finite_difference,CD_delta_e,1.0
PASS,-1.4253102344772264,centered_finite_difference,Cm_delta_e,1.0
PASS,-0.1579169507902658,centered_finite_difference,CY_delta_r,1.0
PASS,0.004288225411593753,centered_finite_difference,Cl_delta_r,1.0
PASS,0.06741717888790778,centered_finite_difference,Cn_delta_r,1.0
