absolute_difference,baseline,current,message,pass_limit,quantity,relative_difference,relative_difference_pct,status,warn_limit
,5849e2de526d07fc62f64120058ff1d6cfdcc63ef791dd8d20720cffcb25793b,5849e2de526d07fc62f64120058ff1d6cfdcc63ef791dd8d20720cffcb25793b,fixed regression identity,exact match,model_sha256,,,PASS,exact match
,OpenVSP 3.51.3,OpenVSP 3.51.3,fixed regression identity,exact match,openvsp_version,,,PASS,exact match
0.0,4.268906787204264,4.268906787204264,,0.37151254297634106,alpha_trim_deg,0.0,0.0,PASS,0.7203360180806395
0.0,-5.952486745549647,-5.952486745549647,,0.5061989396439718,elevator_trim_deg,0.0,0.0,PASS,0.972873011832447
0.0,4.935992666917145,4.935992666917145,,0.42487941335337165,CL_alpha,0.0,0.0,PASS,0.8203989000375718
0.0,0.3248975476415392,0.3248975476415392,,0.05599180381132314,CD_alpha,0.0,0.0,PASS,0.12873463214623088
0.0,-1.2817770523491279,-1.2817770523491279,,0.13254216418793024,Cm_alpha,0.0,0.0,PASS,0.2722665578523692
0.0,8.7366601,8.7366601,,0.728932808,CL_q,0.0,0.0,PASS,1.390499015
0.0,-12.8210734,-12.8210734,,1.055685872,Cm_q,0.0,0.0,PASS,2.00316101
0.0,-0.45839339991913425,-0.45839339991913425,,0.06667147199353074,CY_beta,0.0,0.0,PASS,0.14875900998787012
0.0,-0.07976128305930226,-0.07976128305930226,,0.03638090264474418,Cl_beta,0.0,0.0,PASS,0.09196419245889534
0.0,0.11138208213600237,0.11138208213600237,,0.03891056657088019,Cn_beta,0.0,0.0,PASS,0.09670731232040036
0.0,-0.063898,-0.063898,,0.03511184,CY_p,0.0,0.0,PASS,0.0895847
0.0,-0.468928,-0.468928,,0.06751424,Cl_p,0.0,0.0,PASS,0.1503392
0.0,-0.0563091,-0.0563091,,0.034504728,Cn_p,0.0,0.0,PASS,0.088446365
0.0,0.2879708,0.2879708,,0.053037664,CY_r,0.0,0.0,PASS,0.12319562
0.0,0.0739578,0.0739578,,0.035916624,Cl_r,0.0,0.0,PASS,0.09109367
0.0,-0.0969996,-0.0969996,,0.037759968,Cn_r,0.0,0.0,PASS,0.09454994
0.0,0.5411504894109624,0.5411504894109624,,0.07329203915287699,CL_delta_e,0.0,0.0,PASS,0.16117257341164437
0.0,0.0019437907467163527,0.0019437907467163527,,0.030155503259737308,CD_delta_e,0.0,0.0,PASS,0.08029156861200745
0.0,-1.5296658176813012,-1.5296658176813012,,0.15237326541450408,Cm_delta_e,0.0,0.0,PASS,0.30944987265219515
0.0,-0.018811665728677464,-0.018811665728677464,,0.0315049332582942,CY_delta_a,0.0,0.0,PASS,0.08282174985930162
0.0,-0.27669648496017357,-0.27669648496017357,,0.05213571879681389,Cl_delta_a,0.0,0.0,PASS,0.12150447274402604
0.0,0.0012104364535149975,0.0012104364535149975,,0.0300968349162812,Cn_delta_a,0.0,0.0,PASS,0.08018156546802725
7.785064041337941e-07,-0.12318246306783293,-0.12318324157423706,,0.03985459704542663,CY_delta_r,6.319945102129463e-06,0.0006319945102129463,PASS,0.09847736946017493
9.64001490265376e-09,0.0047079324234157146,0.004707942063430617,,0.030376634593873256,Cl_delta_r,2.0476111455439508e-06,0.00020476111455439508,PASS,0.08070618986351236
8.433938743918068e-08,0.0519978590121601,0.05199777467277266,,0.034159828720972805,Cn_delta_r,1.621978078356212e-06,0.0001621978078356212,PASS,0.08779967885182402
